model,split,true_label,true_label_name,pred_label,pred_label_name,count
CNN baseline (PyTorch Conv1D),test,0,donor,0,donor,9704
CNN baseline (PyTorch Conv1D),test,0,donor,1,acceptor,15
CNN baseline (PyTorch Conv1D),test,0,donor,2,non_splice,281
CNN baseline (PyTorch Conv1D),test,1,acceptor,0,donor,33
CNN baseline (PyTorch Conv1D),test,1,acceptor,1,acceptor,9228
CNN baseline (PyTorch Conv1D),test,1,acceptor,2,non_splice,739
CNN baseline (PyTorch Conv1D),test,2,non_splice,0,donor,816
CNN baseline (PyTorch Conv1D),test,2,non_splice,1,acceptor,1896
CNN baseline (PyTorch Conv1D),test,2,non_splice,2,non_splice,7288
RNA-FM + MLP,test,0,donor,0,donor,9741
RNA-FM + MLP,test,0,donor,1,acceptor,5
RNA-FM + MLP,test,0,donor,2,non_splice,254
RNA-FM + MLP,test,1,acceptor,0,donor,116
RNA-FM + MLP,test,1,acceptor,1,acceptor,8604
RNA-FM + MLP,test,1,acceptor,2,non_splice,1280
RNA-FM + MLP,test,2,non_splice,0,donor,1512
RNA-FM + MLP,test,2,non_splice,1,acceptor,1472
RNA-FM + MLP,test,2,non_splice,2,non_splice,7016
RNABERT + MLP,test,0,donor,0,donor,9609
RNABERT + MLP,test,0,donor,1,acceptor,2
RNABERT + MLP,test,0,donor,2,non_splice,389
RNABERT + MLP,test,1,acceptor,0,donor,80
RNABERT + MLP,test,1,acceptor,1,acceptor,8080
RNABERT + MLP,test,1,acceptor,2,non_splice,1840
RNABERT + MLP,test,2,non_splice,0,donor,963
RNABERT + MLP,test,2,non_splice,1,acceptor,636
RNABERT + MLP,test,2,non_splice,2,non_splice,8401
