window_flank,model,split,true_label,true_label_name,pred_label,pred_label_name,count
50,CNN baseline (PyTorch Conv1D),test,0,donor,0,donor,123
50,CNN baseline (PyTorch Conv1D),test,0,donor,1,acceptor,0
50,CNN baseline (PyTorch Conv1D),test,0,donor,2,non_splice,6
50,CNN baseline (PyTorch Conv1D),test,1,acceptor,0,donor,1
50,CNN baseline (PyTorch Conv1D),test,1,acceptor,1,acceptor,134
50,CNN baseline (PyTorch Conv1D),test,1,acceptor,2,non_splice,12
50,CNN baseline (PyTorch Conv1D),test,2,non_splice,0,donor,14
50,CNN baseline (PyTorch Conv1D),test,2,non_splice,1,acceptor,39
50,CNN baseline (PyTorch Conv1D),test,2,non_splice,2,non_splice,102
50,RNA-FM frozen encoder + MLP,test,0,donor,0,donor,107
50,RNA-FM frozen encoder + MLP,test,0,donor,1,acceptor,1
50,RNA-FM frozen encoder + MLP,test,0,donor,2,non_splice,21
50,RNA-FM frozen encoder + MLP,test,1,acceptor,0,donor,1
50,RNA-FM frozen encoder + MLP,test,1,acceptor,1,acceptor,126
50,RNA-FM frozen encoder + MLP,test,1,acceptor,2,non_splice,20
50,RNA-FM frozen encoder + MLP,test,2,non_splice,0,donor,24
50,RNA-FM frozen encoder + MLP,test,2,non_splice,1,acceptor,19
50,RNA-FM frozen encoder + MLP,test,2,non_splice,2,non_splice,112
50,RNABERT frozen encoder + MLP,test,0,donor,0,donor,120
50,RNABERT frozen encoder + MLP,test,0,donor,1,acceptor,2
50,RNABERT frozen encoder + MLP,test,0,donor,2,non_splice,7
50,RNABERT frozen encoder + MLP,test,1,acceptor,0,donor,1
50,RNABERT frozen encoder + MLP,test,1,acceptor,1,acceptor,123
50,RNABERT frozen encoder + MLP,test,1,acceptor,2,non_splice,23
50,RNABERT frozen encoder + MLP,test,2,non_splice,0,donor,22
50,RNABERT frozen encoder + MLP,test,2,non_splice,1,acceptor,26
50,RNABERT frozen encoder + MLP,test,2,non_splice,2,non_splice,107
100,CNN baseline (PyTorch Conv1D),test,0,donor,0,donor,120
100,CNN baseline (PyTorch Conv1D),test,0,donor,1,acceptor,3
100,CNN baseline (PyTorch Conv1D),test,0,donor,2,non_splice,6
100,CNN baseline (PyTorch Conv1D),test,1,acceptor,0,donor,1
100,CNN baseline (PyTorch Conv1D),test,1,acceptor,1,acceptor,135
100,CNN baseline (PyTorch Conv1D),test,1,acceptor,2,non_splice,11
100,CNN baseline (PyTorch Conv1D),test,2,non_splice,0,donor,18
100,CNN baseline (PyTorch Conv1D),test,2,non_splice,1,acceptor,42
100,CNN baseline (PyTorch Conv1D),test,2,non_splice,2,non_splice,95
100,RNA-FM frozen encoder + MLP,test,0,donor,0,donor,109
100,RNA-FM frozen encoder + MLP,test,0,donor,1,acceptor,1
100,RNA-FM frozen encoder + MLP,test,0,donor,2,non_splice,19
100,RNA-FM frozen encoder + MLP,test,1,acceptor,0,donor,1
100,RNA-FM frozen encoder + MLP,test,1,acceptor,1,acceptor,120
100,RNA-FM frozen encoder + MLP,test,1,acceptor,2,non_splice,26
100,RNA-FM frozen encoder + MLP,test,2,non_splice,0,donor,26
100,RNA-FM frozen encoder + MLP,test,2,non_splice,1,acceptor,30
100,RNA-FM frozen encoder + MLP,test,2,non_splice,2,non_splice,99
100,RNABERT frozen encoder + MLP,test,0,donor,0,donor,122
100,RNABERT frozen encoder + MLP,test,0,donor,1,acceptor,1
100,RNABERT frozen encoder + MLP,test,0,donor,2,non_splice,6
100,RNABERT frozen encoder + MLP,test,1,acceptor,0,donor,1
100,RNABERT frozen encoder + MLP,test,1,acceptor,1,acceptor,126
100,RNABERT frozen encoder + MLP,test,1,acceptor,2,non_splice,20
100,RNABERT frozen encoder + MLP,test,2,non_splice,0,donor,18
100,RNABERT frozen encoder + MLP,test,2,non_splice,1,acceptor,27
100,RNABERT frozen encoder + MLP,test,2,non_splice,2,non_splice,110
200,CNN baseline (PyTorch Conv1D),test,0,donor,0,donor,121
200,CNN baseline (PyTorch Conv1D),test,0,donor,1,acceptor,3
200,CNN baseline (PyTorch Conv1D),test,0,donor,2,non_splice,5
200,CNN baseline (PyTorch Conv1D),test,1,acceptor,0,donor,1
200,CNN baseline (PyTorch Conv1D),test,1,acceptor,1,acceptor,132
200,CNN baseline (PyTorch Conv1D),test,1,acceptor,2,non_splice,14
200,CNN baseline (PyTorch Conv1D),test,2,non_splice,0,donor,17
200,CNN baseline (PyTorch Conv1D),test,2,non_splice,1,acceptor,39
200,CNN baseline (PyTorch Conv1D),test,2,non_splice,2,non_splice,99
200,RNA-FM frozen encoder + MLP,test,0,donor,0,donor,109
200,RNA-FM frozen encoder + MLP,test,0,donor,1,acceptor,0
200,RNA-FM frozen encoder + MLP,test,0,donor,2,non_splice,20
200,RNA-FM frozen encoder + MLP,test,1,acceptor,0,donor,1
200,RNA-FM frozen encoder + MLP,test,1,acceptor,1,acceptor,122
200,RNA-FM frozen encoder + MLP,test,1,acceptor,2,non_splice,24
