event_id,tissue,tissue_program,splice_usage,data_source,case_count,note
TISSUE_EVENT_000,blood,brain_enriched,0.3639884863843069,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_000,brain,brain_enriched,0.6257714770991463,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_000,heart,brain_enriched,0.36311676688555417,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_000,liver,brain_enriched,0.2939041396720576,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_000,muscle,brain_enriched,0.37384265823952134,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_001,blood,liver_enriched,0.5261620244891111,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_001,brain,liver_enriched,0.42939935093808423,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_001,heart,liver_enriched,0.4783543196454018,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_001,liver,liver_enriched,0.8404989106142755,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_001,muscle,liver_enriched,0.481175377682219,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_002,blood,muscle_enriched,0.4276260853377539,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_002,brain,muscle_enriched,0.45266423562403807,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_002,heart,muscle_enriched,0.579748394402729,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_002,liver,muscle_enriched,0.4215161783699336,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_002,muscle,muscle_enriched,0.6808154639307018,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_003,blood,immune_enriched,0.7180280383803656,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_003,brain,immune_enriched,0.425787433801059,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_003,heart,immune_enriched,0.46803123696521876,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_003,liver,immune_enriched,0.45230709640402683,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_003,muscle,immune_enriched,0.4552999350795363,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_004,blood,ubiquitous,0.554746803259916,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_004,brain,ubiquitous,0.5124487991192342,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_004,heart,ubiquitous,0.5238749903279429,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_004,liver,ubiquitous,0.5205918196128296,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_004,muscle,ubiquitous,0.5582057399056274,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_005,blood,brain_enriched,0.39639402503047577,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_005,brain,brain_enriched,0.622992222005473,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_005,heart,brain_enriched,0.40926980110494293,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_005,liver,brain_enriched,0.37514126555630534,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_005,muscle,brain_enriched,0.38162916517379,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_006,blood,liver_enriched,0.5501264592381147,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_006,brain,liver_enriched,0.4686761765442045,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_006,heart,liver_enriched,0.48024332898659694,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_006,liver,liver_enriched,0.7885208881638787,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_006,muscle,liver_enriched,0.4938246317903628,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_007,blood,muscle_enriched,0.34144086236979093,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_007,brain,muscle_enriched,0.3183518715559347,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_007,heart,muscle_enriched,0.4317781688608465,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_007,liver,muscle_enriched,0.26991148224315425,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_007,muscle,muscle_enriched,0.5633464203506516,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_008,blood,immune_enriched,0.7880495711997426,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_008,brain,immune_enriched,0.5036349095071544,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_008,heart,immune_enriched,0.49777337785924003,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_008,liver,immune_enriched,0.5330664284788743,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_008,muscle,immune_enriched,0.44700240800802316,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_009,blood,ubiquitous,0.45377239144900366,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_009,brain,ubiquitous,0.42656746647742266,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_009,heart,ubiquitous,0.4232409103785546,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_009,liver,ubiquitous,0.3990204072983931,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_009,muscle,ubiquitous,0.4567771856834009,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_010,blood,brain_enriched,0.2972587809115372,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_010,brain,brain_enriched,0.5834133299484534,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_010,heart,brain_enriched,0.3328158122381167,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_010,liver,brain_enriched,0.23418858527839742,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_010,muscle,brain_enriched,0.31414579993963576,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_011,blood,liver_enriched,0.557723100904616,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_011,brain,liver_enriched,0.4402991274184264,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_011,heart,liver_enriched,0.48395327890872786,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_011,liver,liver_enriched,0.7900584465444848,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_011,muscle,liver_enriched,0.5287888248837863,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_012,blood,muscle_enriched,0.46548703676701886,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_012,brain,muscle_enriched,0.4771101772762773,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_012,heart,muscle_enriched,0.5966853089864709,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_012,liver,muscle_enriched,0.45012230587454094,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_012,muscle,muscle_enriched,0.7962576721369967,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_013,blood,immune_enriched,0.7942351992942832,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_013,brain,immune_enriched,0.48975523981944147,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_013,heart,immune_enriched,0.5109033938911395,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_013,liver,immune_enriched,0.5336340762469702,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_013,muscle,immune_enriched,0.4443235651069359,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_014,blood,ubiquitous,0.42135827722399727,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_014,brain,ubiquitous,0.43020917202255204,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_014,heart,ubiquitous,0.3911984667995501,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_014,liver,ubiquitous,0.4032202760202701,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_014,muscle,ubiquitous,0.4388730827559303,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_015,blood,brain_enriched,0.5147827912797184,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_015,brain,brain_enriched,0.8219723368599007,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
TISSUE_EVENT_015,heart,brain_enriched,0.5696104392713678,synthetic_tissue_regulation_benchmark_v1,200,small GTEx-style tissue usage case study; not a full GTEx benchmark
